scholarship_program_name,promoter,funds_in_rupiah,gpa,religion,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,total_awardee,essay,SMP-SMA,SMA,Sarjana,SMP-SMA-Sarjana,SMA-Sarjana,Sarjana-Fresh Graduate,Fresh Graduate,SMP-SMA-Sarjana-Fresh Graduate,education_level
Eunice Richardson Scholarship for Girls,Richardson Family,0.015151515151515152,2.5,3,1,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Kenyada Me'Chon Thomas Legacy Scholarship,Cermonia Thomas,0.06060606060606061,2.5,3,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
Ranger Rise Scholarship,Ranger Liquor Mart & Bar,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Sean Allen Memorial Scholarship,Peter Chang,0.06060606060606061,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Summer Chester Memorial Scholarship,Keishanae Williams,0.02727272727272727,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Emma Jean Ridley Memorial Scholarship,Beacons of Promise LLC,0.030303030303030304,3.0,3,1,2,0,0,1,3,1,1,0,0,1,0,0,0,0,0,6
Terry Masters Memorial Scholarship,Masters Family,0.045454545454545456,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Dr. Jade Education Scholarship,The Dr Jade Brand LLC,0.015151515151515152,0.0,3,0,1,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0
Cariloop's Caregiver Scholarship,Cariloop,0.15151515151515152,0.0,3,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,1,5
Youth Equine Service Scholarship,Cathy Thacker,0.03484848484848485,0.0,3,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,1,5
Lidia M. Wallace Memorial Scholarship,Wallace Family,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Kevin R. Mabee Memorial Scholarship,Laurie Conrad,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Wild Scholarship,Wildxyz Inc,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Ron Johnston Student Athlete Scholarship,Johnston Family,0.06363636363636363,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
Dan Leahy Scholarship Fund,Dan Leahy Scholarship Fund,0.09090909090909091,0.0,3,0,2,0,0,0,3,2,1,0,0,0,1,0,0,0,0,4
Reviewing,The Donald A. Baker Foundation,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Laura Thorne Memorial Scholarship,Shelley Roderick,0.06060606060606061,0.0,3,0,2,0,1,0,3,0,1,0,0,0,0,1,0,0,0,2
Rebecca Hunter Memorial Scholarship,Ryan Lester,0.03484848484848485,0.0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
Eitel Scholarship,Danielle Eitel,0.015151515151515152,3.0,3,1,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Charity's Alumnus Erudition Award,Charity's Haven LLC,0.015151515151515152,2.5,3,1,2,0,0,1,3,0,1,0,1,0,0,0,0,0,0,1
Big Heart Scholarship,Gentile Family,0.2778787878787879,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
Trudgers Fund,C.Louis Gable,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Kristie's Kids - Loving Arms Around Those Impacted by Cancer Scholarship,McFarling,0.15151515151515152,3.0,3,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
Audrey Sherrill & Michael D'Ambrisi Music Scholarship,The Sherrill Family and Friends,0.30303030303030304,3.0,3,1,2,0,0,0,3,1,1,0,0,0,1,0,0,0,0,4
Your Health Journey Scholarship,Thrive,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Sports Lover Scholarship,Thrive,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Mind Body & Soul Scholarship,Thrive,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Healthy Eating Scholarship,Thrive,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Learner Math Lover Scholarship,Learner,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Learner Geometry Scholarship,Learner,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Learner No-Essay SAT Tutoring Scholarship,Learner,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3
Learner.com Algebra Scholarship,Learner,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Learner Calculus Scholarship,Learner,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Informed Consumer Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Overcoming Adversity - Jack Terry Memorial Scholarship,Strans and Terry Family,0.18181818181818182,3.0,3,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
Tony Alviani Memorial Scholarship,Alviani Family,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Grace Lynn Ross Memorial Scholarship,Michelle Ross,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Walters Foster Care Scholarship,Walters Family,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Richard Neumann Scholarship,Neumann,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Maggie's Way-International Woman's Scholarship,David Gaskill,0.15151515151515152,0.0,3,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Vincent U. Cornwall Legacy Scholarship,Jason Prime,0.015151515151515152,0.0,3,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,1,5
LoCasale Family and Friends,Perla Acevedo,0.015151515151515152,0.0,3,0,2,0,0,1,3,0,1,1,0,0,0,0,0,0,0,3
David G. Sutton Memorial Scholarship,Stacy Mensch,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
Mendez-Olvera Medicine and Public Health Scholarship,Mendez-Olvera,0.06060606060606061,3.6,3,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
Scorenavigator Financial Literacy Scholarship,ScoreNavigator Inc,0.15151515151515152,3.0,3,1,2,0,0,0,3,4,1,1,0,0,0,0,0,0,0,3
Kozakov Foundation Fellowship for Creatives,Kozakov Foundation,0.1556060606060606,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Goodnewsletter Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Carla M. Champagne Memorial Scholarship,Champagne,0.06060606060606061,0.0,3,0,2,0,1,0,3,0,1,0,0,1,0,0,0,0,0,6
"Brent Haines ""Make it Happen"" Scholarship",Haines Family,0.12121212121212122,2.5,3,1,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,6
Life-Changing Concepts Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Hulede Collegiate Golf Scholarship,John C. Hulede,0.30303030303030304,3.0,3,1,2,0,0,0,3,4,1,0,0,0,0,0,0,0,1,5
Josephine E. Sloane Scholarship for Legal Studies,Sloane Law LLC,0.015151515151515152,3.0,3,1,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Sean Carroll's Mindscape Big Picture Scholarship,Sean Carroll's Mindscape,0.30303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
TBC Academic Scholarship,Tiara Cosby,0.015151515151515152,0.0,3,0,2,0,0,1,3,0,1,0,1,0,0,0,0,0,0,1
GTF Book Scholarship,The Gregory D. Tucker Foundation,0.015151515151515152,3.0,3,1,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Opportunity for Our People Scholarship,Coops Corner,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Albright Carter Campbell Ohana Scholarship for Academic Excellence,George Albright,0.3696969696969697,0.0,3,0,2,0,0,0,3,2,1,0,0,0,0,0,1,0,0,7
SmartAsset College SamrtStart Personal Finance Scholarship,SmartAsset,0.15151515151515152,3.0,3,1,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Margot Pickering Aspiring Attorney Scholarship,Margot Marie Pickering Bogner Memorial Scholarship Fund,0.07575757575757576,3.0,3,1,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Margot Bogner Memorial Scholarship,Margot Marie Pickering Bogner Memorial Scholarship Fund,0.07575757575757576,3.5,3,1,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Eduardo Uvaldo Memorial Scholarship,Uvaldo,0.030303030303030304,3.0,3,1,2,0,0,0,3,1,1,0,0,0,0,0,1,0,0,7
Book Lovers Scholarship,Calvin Rosser,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Veterans Next Generation Scholarship,Richard and Stephanie Younkins,0.045454545454545456,0.0,3,0,2,0,0,0,3,2,1,0,0,1,0,0,0,0,0,6
James Gabriel Memorial Scholarship,McCormack,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
Joey Anderson Dance & Theater Scholarship,Emma Bradley,0.06363636363636363,0.0,3,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Deborah Stevens Pediatric Nursing Scholarship,Deborah Stevens,0.09090909090909091,0.0,3,0,2,0,0,0,3,2,1,0,0,1,0,0,0,0,0,6
John Traxler Theatre Scholarship,Traxler Family,0.024242424242424242,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Organic Formula Shop Single Parent Scholarship,Organic Formula Shop,0.06060606060606061,0.0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7
"""A Bold Life"" No-Essay Scholarship",Calvin Rosser,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Jimmy Cardenas Community Leader Scholarship,Cardenas Family,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Charles Cheesman's Student Debt Reduction Scholarship,Cheesman Family,0.696969696969697,0.0,3,0,2,0,0,1,3,3,1,0,0,0,0,0,1,0,0,7
James R. Schaaf Civil Engineering Scholarship,Floodplain Management Association,0.3181818181818182,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
HM Family Scholarship,HM Family Scholarship,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
TJ Crowson Memorial Scholarship,The Crowson Family,0.09090909090909091,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
Alice and Gary Barthell Scholarship,Barthell Foundation Inc,0.07575757575757576,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
Stephan L. Daniels Lift As We Climb Scholarship,Stephen Daniels,0.15151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Alex D. Sharpless II Memorial Scholarship,Jenny Sharpless,0.045454545454545456,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
FMA College Scholarship,Floodplain Management Association,0.30303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Williams Foundation Trailblazer Scholarship,Williams Foundation,0.030303030303030304,2.5,3,1,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Alkenyatta Al Wilson Scholarship,JACOPRI INC,0.022727272727272728,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
"She Rose Initiative's ""More Than a Conqueror"" Scholarship",She Rose Initiative,0.015151515151515152,3.0,3,1,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Young Women in STEM Scholarship,Stephanie Hagopian,0.45454545454545453,0.0,3,0,1,0,0,0,3,2,1,0,0,0,0,1,0,0,0,2
Curiosity Chronicle Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Dema Dimbaya Humanitarianism and Disaster Relief Scholarship,Dema Dimbaya,0.06060606060606061,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
To The Moon Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Jerrye Chesnes Memorial Scholarship,Chesnes,0.09090909090909091,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,0,1,0,0,7
Chris Ford Scholarship,Chris Ford,0.30303030303030304,3.0,3,1,2,0,0,0,3,3,1,0,1,0,0,0,0,0,0,1
Students Impacted by Incarceration Scholarship,Rishi Malhotra,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Lauren Czebatul Scholarship,Nick Scheller,0.11212121212121212,3.0,3,1,2,0,1,0,3,0,1,0,0,0,1,0,0,0,0,4
Patricia Ann Whelan Memorial Scholarship,Whelan Family,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
For What It's Worth Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Ruebenna Greenfield Flack Scholarship,Enya Flack,0.0696969696969697,0.0,3,0,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Yvela Michele Memorial Scholarship for Resilient Single Parents,American Notary & Signing Services,0.030303030303030304,0.0,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,5
Ruthie Brown Scholarship,Lee Porscha Moore,0.15151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
King Jay Foundation Scholarship,Brittany Murry,0.015151515151515152,3.5,3,1,2,0,0,1,3,0,1,1,0,0,0,0,0,0,0,3
Fuerza Y Ganas Scholarship,Estanislao,0.045454545454545456,0.0,3,0,1,0,0,1,3,2,1,0,0,0,1,0,0,0,0,4
Jacob Daniel Dumas Memorial Jewish Scholarship,Dumas,0.09090909090909091,0.0,2,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
Nitro Pay For College No-Essay Scholarship,Bold,0.30303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Forget Your Student Debt No-Essay Grant,Bold,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
500 Bold Points No-Essay Scholarship,Bold,0.15151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Be Bold No-Essay Scholarship,Bold,0.758969696969697,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Conscious Consumer Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
1000 Bold Points No-Essay Scholarship,Bold,0.30303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Bold No-Essay Community Scholarship,Bold,0.15151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Bold No-Essay Top Friend Scholarship,Bold,0.15151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
400 Bold Points No-Essay Scholarship,Bold,0.12121212121212122,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
300 Bold Points No-Essay Scholarship,Bold,0.09090909090909091,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
200 Bold Points No-Essay Scholarship,Bold,0.06060606060606061,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
100 Bold Points No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
CollegeVine Dream School Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3
Daily Upside Business News Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
Micheal Passanita Memorial Scholarship,Beth,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Gloria Stokes Memorial Scholarship,Jada Dumas,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Jeannine Schroeder Women in Public Service Memorial Scholarship,Andrea Beck,0.12121212121212122,0.0,3,0,1,0,1,0,3,3,1,0,0,1,0,0,0,0,0,6
Cade Reddington Be the Light Scholarship,Cade Reddington Memorial Fund,0.06060606060606061,0.0,3,0,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
Kristen McCartney Perseverance Scholarship,Kristen's Krew,0.12121212121212122,3.5,3,1,1,0,1,0,3,1,1,1,0,0,0,0,0,0,0,3
Dr. Ifeoma Ezebuiro Ezeobele Africans in Nursing Scholarship,Ezebuiro,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Andrea M Taylor Future Doctors Scholarship,Ajeenah Crittendon,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Alma J. Grubbs Education Scholarship,Serenia Beckton,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Filipino-American Scholarship,Lee Cortez,0.045454545454545456,0.0,3,0,2,0,0,0,3,2,1,0,0,1,0,0,0,0,0,6
Keep Going Forward No Essay Scholarship,Ben Schneider,0.045454545454545456,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Ventana Ocean Conservation Scholarship,Ventana Surfboards & Supplies,0.1,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Mohamed Magdi Taha Memorial Scholarship,Taha Family,0.18181818181818182,0.0,3,0,2,0,0,0,3,2,1,0,0,1,0,0,0,0,0,6
Trees for Tuition Scholarship Fund,Trees for Tuition,0.7272727272727273,0.0,3,0,2,0,0,0,3,7,1,0,0,0,0,1,0,0,0,2
Jacques Borges Memorial Scholarship,MONA LISA LYSINGER,0.15042424242424243,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Dylan James Miller Memorial Scholarship,Kim Miller,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Refind - Get Smarter Every Day Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Best Catholic Colleges No-Essay Scholarship,Bold,0.030303030303030304,0.0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3
Best Faith-Based Colleges No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3
Matt Preziose Creative Scholarship,Gisela Delgado,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Ojeda Multi-County Youth Scholarship,Geanette Rodriguez-Ojeda,0.030303030303030304,2.9,3,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
D'Andre J. Brown Memorial Scholarship,Cindy Brown,0.13196969696969696,3.0,3,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
Lieba's Legacy Scholarship,Joran Family,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Huddle Up Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Front Office Sports Scholarship,Bold,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Margalie Jean-Baptiste Scholarship,Patrick Barron,0.030303030303030304,0.0,3,0,1,0,0,1,3,0,1,0,1,0,0,0,0,0,0,1
Chang Heaton Scholarship for Music Excellence,Melody Heaton,0.07575757575757576,0.0,3,0,2,0,0,1,3,4,1,0,0,0,0,0,1,0,0,7
WayUp Dream Job No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,7
Taylor Ibarrondo Memorial Scholarship,Ibarrondo Family,0.06866666666666667,3.0,3,1,2,0,0,0,3,1,1,1,0,0,0,0,0,0,0,3
ESPDaniella Debt Grant,Carlynn Greene,0.13636363636363635,0.0,3,0,2,0,0,0,3,2,0,0,0,0,0,0,1,0,0,7
Dashanna K. McNeil Memorial Scholarship,Dashanna K McNeil Memorial Scholarship,0.03696969696969697,0.0,3,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,1,5
Dollar Isn't Everything Scholarship,Ben Schneider,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
The GIST Women's Sports Business Scholarship,Bold,0.030303030303030304,0.0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,7
Cappex Adult Learners Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,1,5
Survey Junkie Brand Influencer No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Cappex No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
CollegeXpress No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3
Catholic Colleges No-Essay Scholarship,Bold,0.030303030303030304,0.0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3
Going Merry Multiple No-Essay Scholarship in One Scholarship,Going Merry,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Learner Education Women in Mathematics Scholarship,Learner,0.030303030303030304,0.0,3,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
GIST Sports Media No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Ukrainian Women in STEM,Anonymous Donor,0.6060606060606061,0.0,3,0,1,0,0,0,3,3,1,0,0,1,0,0,0,0,0,6
Ethel Hayes Destigmatization of Mental Health Scholarship,Dr.Terence O. Hayes Sr,0.3393939393939394,0.0,3,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,1,5
Average Joe Financial News Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,7
Wondermind Mental Fitness No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Scott McLam Memorial Scholarship,John Gerli,0.18181818181818182,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
Niche College No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Science for Life Biology and Health Science No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
A Bold Mind Psychology No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Faith-Based Colleges No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3
Milk Road Crypto and Web3 No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Hannah's Community Foster Care Forward Scholarship,Hannah Pfister,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Kim Moon Bae Underrepresented Students Scholarship,John Kim,0.030303030303030304,0.0,3,0,2,1,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Dreamer's Midpoint Scholarship,Dreamer's Midpoint,0.015151515151515152,2.5,3,1,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Hector L. Minott Sr. Future Doctor Scholarship,Anonymous,0.030303030303030304,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,0,1,0,0,7
ESOF Academic Scholarship,ESOF,0.030303030303030304,3.0,3,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
Kahoot Live Scholarship,Bold,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Corrick Family First-Gen Scholarship,Corrick Family,0.045454545454545456,0.0,3,0,2,0,0,1,3,0,1,0,0,1,0,0,0,0,0,6
Social Change Fund United Scholarship,The Social Change Fund United,0.45454545454545453,0.0,3,0,2,0,0,0,3,2,1,0,0,0,0,0,1,0,0,7
Solomon Vann Memorial Scholarship,Juanita Inman-Vann,0.030303030303030304,3.0,3,1,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
Scholly No-Essay Scholarship,Bold,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
CampusReel No-Essay Scholarship,Bold,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
AI Innovators Undergraduate Scholarship,CommandBar,0.06060606060606061,0.0,3,0,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,6
Youssef University's Muslim Scholarship Fund,Youssef Hasweh,0.045454545454545456,3.0,0,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Ed and Flora Pellegri Scholarship,Edward Pellegri,0.15151515151515152,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
Robert F. Lawson Fund for Careers that Care,Lance Lawson,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Walking in Authority International Ministry Scholarship,Walking in Authority Internation Ministry,0.019696969696969695,2.5,3,1,2,0,1,0,3,0,1,0,0,0,0,1,0,0,0,2
Andrea Claire Matason Memorial Scholarship,The Matason Family,0.030303030303030304,0.0,3,0,2,0,1,0,3,1,1,0,0,0,0,1,0,0,0,2
Medford Volunteer Ambulance Aspiring Healthcare Hero's Scholarship,Medford Volunteer Ambulance Inc,0.09090909090909091,0.0,3,0,2,0,0,0,3,4,1,0,1,0,0,0,0,0,0,1
Dynamic Edge Women in STEM Scholarship,Dynamic Edge Inc,0.12121212121212122,0.0,3,0,1,0,0,0,3,1,1,0,0,0,1,0,0,0,0,4
Future of Aviation Scholarship,Thomas Mannion,0.07575757575757576,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Rita A. Clark Future Educator Award,Lynn Clark,0.016666666666666666,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Mattie's Way Memorial Scholarship,Wilmoth Family,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
HRCap Next-Gen Leadership Scholarship,HRCap Inc,0.15151515151515152,0.0,3,0,2,0,0,0,3,5,1,0,0,0,0,0,1,0,0,7
