scholarship_program_name,promoter,funds,education_level,region,race,religion,major_study,gpa,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,enrollment_pattern,low_income,background,total_awardee,deadline,essay,funding_type,scholarship_status
I Can and I Will Scholarship,Kosmond Russell,1000,Senior High School-Undergraduate,All USA States,BIPOC,Public,Any,3.5,TRUE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation/Extracurricular/Mental and Pyhsical disability,1,08/01/2023,TRUE,Donor,Open
Anastasiya Y. Hardie Women in Engineering Memorial Scholarship,Brian Hardie,500,Any,All USA States,,Public,Engineering,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Immigrant,1,07/17/2023,TRUE,Donor,Open
Lulu Scholarship for Music Vocation,Guin Records LLC,1100,High School,All USA States,,Public,Music,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/15/2023,TRUE,Donor,Open
Private (PVT) Henry Walker Minority Scholarship,Steven Franklin,1000,Undergraduate,All USA States,African American,Public,Any,2.8,TRUE,All gender,TRUE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering/HBCU students,1,08/01/2023,TRUE,Donor,Open
Mad Grad Scholarship,MAD BOX Studios LLC,1000,Any,All USA States,,Public,Visual/Performing Arts,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,08/15/2023,TRUE,Donor,Open
Caleb G. Banegas Scholarship,Caleb Banegas,500,Any,All USA States,,Public,Any,0,FALSE,Female,FALSE,FALSE,FALSE,Single mother,Traditional Student,FALSE,Single mother,1,07/16/2023,TRUE,Donor,Open
Rose Ifebigh Memorial Scholarship,Adaora Ifebigh,1000,Senior High School-Undergraduate,All USA States,,Public,Any,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Immigrant/Foreign students,1,06/15/2023,TRUE,Donor,Open
M.R. Brooks Scholarship,Katya Bowen,1000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,LGBTQ+,FALSE,FALSE,FALSE,Single parent family,Traditional Student,FALSE,None,1,06/30/2023,TRUE,Donor,Open
Chadwick D. McNab Memorial Scholarship,DraughtLab LLC,1000,Undergraduate,All USA States,,Public,Computer Science/Technology,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,10/14/2023,TRUE,Donor,Open
Zachary Scheppat Memorial Science Scholarship,Scheppat,5000,Senior High School,All USA States,,Public,Physical Science/Biological Science/Medical Science/Science Education,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Tutoring/Science Clubs/Volunteering,2,06/01/2023,TRUE,Donor,Open
Pablo M. Ortiz Memorial Scholarship,Chelsie-Jean Fernandez,1000,Undergraduate,All USA States,BIPOC,Public,Software Engineering/IT/Computer Science,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/20/2023,TRUE,Donor,Open
Major La-Goge W. Graham Memorial Scholarship,Graham Family,2500,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,JROTC/ROTC,1,07/25/2023,TRUE,Donor,Open
Minority Women in STEM Financial Need Scholarship,Donald Huschle,10000,Undergraduate,All USA States,BIPOC,Public,STEM,0,FALSE,Female,TRUE,FALSE,FALSE,Together,Traditional Student,FALSE,University of Texas students,1,06/15/2023,TRUE,Donor,Open
Johnson Dale Women's Empowerment Scholarship,Johnson,1000,High School-Undergraduate,All USA States,African American,Public,Any,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,10/01/2023,TRUE,Donor,Open
Connie Konatsotis Scholarship,Connie Konatsotis Scholarship Fund,2000,Any,All USA States,,Public,STEAM,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,07/04/2023,TRUE,Donor,Open
Hackworth-Rhodes STEM Scholarship,NEKIA HACKWORTH,500,Senior High School,All USA States,,Public,STEM,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/15/2023,TRUE,Donor,Open
Maxwell Tuan Nguyen Memorial Scholarship,Nguyen,1000,Senior High School-Undergraduate,All USA States,,Public,Medical,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,08/01/2023,TRUE,Donor,Open
Pheonix Opportunity Award,Long John Nguyen,500,Senior High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,TRUE,Low-income/First-generation,1,06/15/2023,TRUE,Donor,Open
Writer for Life Scholarship,KEITH ARNOLD,1000,Senior High School-Undergraduate,All USA States,,Public,Journalism,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,08/01/2023,TRUE,Donor,Open
Justin Moeller Memorial Scholarship,WorkStream Technology,1000,Senior High School-Undergraduate,All USA States,,Public,Information Technology,0,FALSE,All gender,TRUE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/01/2023,TRUE,Donor,Open
Olympians Academy Leadership Wings Scholarship,The Olympians Academy LLC,3000,Undergraduate,All USA States,,Public,Business/Information Systems/Health Administration/Organizational Leadership,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,08/06/2023,TRUE,Donor,Open
Ron & Janell Lunan Black Girls in STEM Scholarship,Ron & Janell Lunan,1000,High School,All USA States,African American,Public,STEM,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,06/12/2023,TRUE,Donor,Open
Future of Aviation Scholarship,Thomas Mannion,2500,High School-Undergraduate,All USA States,,Public,Aviation/Piloting,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/15/2023,TRUE,Donor,Open
Headbang For Science,Headbang For Science,33000,Any,All USA States,,Public,Healthcare/Physical Science,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Intrested in heavy Metal music,3,06/15/2023,TRUE,Donor,Open
Ella Hall-Dillon Scholarship,Letta Belle,3470,Senior High School-Undergraduate,All USA States,African,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation/Second-generation,3,08/01/2023,TRUE,Donor,Open
Rosalie A. DuPont (Young) Nursing Scholarship,Antonia Maria Casino and Antonio DuPont,1250,Any,All USA States,,Public,Nursing,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/15/2023,TRUE,Donor,Open
"Gladys Ruth Legacy ""Service"" Memorial Scholarship",Angela King,1000,Undergraduate,All USA States,African American,Public,Any,2.5,TRUE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation/Community service five years,1,06/04/2023,TRUE,Donor,Open
Best Christian Colleges No-Essay Scholarship,Bold,1000,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Lori Nethaway Memorial Scholarship,Stacey Sprenkel,1230,Senior High School,All USA States,,Public,Any,0,FALSE,Female,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,06/01/2023,TRUE,Donor,Open
Harry D Thompson Memorial Scholarship,Thomson,1000,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/15/2023,TRUE,Donor,Open
"""Equal Opportunity"" Scholarship",Calvin Rosser,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,08/31/2023,TRUE,Donor,Open
Operation 11 Tyler Schaeffer Memorial Scholarship,Campbell,3000,Senior High School-Undergraduate,All USA States,,Public,Social Work/Criminal Justice,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,08/11/2023,TRUE,Donor,Open
Jorge A. Quizhpi Memorial Scholarship,Daisy Mogrovejo,500,Senior High School,All USA States,Hispanic,Public,Any,3.2,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Speak English and Spanish,1,07/31/2023,TRUE,Donor,Open
Elijah's Helping Hand Scholarship Award,Sheehan,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/12/2023,TRUE,Donor,Open
Rita A. Clark Future Educator Award,Lynn Clark,550,Senior High School-Undergraduate,All USA States,,Public,Education,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/17/2023,TRUE,Donor,Open
Skip Veeder Memorial Scholarship,Veeder Tree Farm,500,Senior High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering/Sports,1,06/05/2023,TRUE,Donor,Open
FLIK Hospitality Group's Entrepreneurial Council Scholarship,Flik Hospitality Group,20000,Senior High School-Undergraduate,All USA States,,Public,Any,2.7,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Interested in Culinary Arts/Hospitality/Marketing/Finance/Nutrition,4,06/01/2023,TRUE,Donor,Open
Xavier M. Monroe Heart of Gold Memorial Scholarship,Delta Beta Psi Sorority Inc,500,High School-Undergraduate,All USA States,African American,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/15/2023,TRUE,Donor,Open
Veterans Writing Group of San Diego Ernie Pyle Award,Veterans' Writing Group of San Diego Country,1000,Undergraduate,All USA States,,Public,Any,2.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Veteran/Active Military,1,09/11/2023,TRUE,Donor,Open
Denise K. Emberton Memorial Scholarship,Gary Emberton,2000,Senior High School-Undergraduate,All USA States,,Public,Special Education,3.5,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Teaching low-incidence/Autistic students,2,06/15/2023,TRUE,Donor,Open
831 Legacy Scholarship,Niko Ivanov,3000,Senior High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,06/24/2023,TRUE,Donor,Open
Wellness Warriors Scholarship,Enso,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/01/2023,TRUE,Donor,Open
Career Search Scholarship,Realign Inc,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/01/2023,TRUE,Donor,Open
Mighty Memorial Scholarship,Chynenye Okonkwo,1000,Undergraduate,All USA States,African American,Public,Nursing,2.8,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/20/2023,TRUE,Donor,Open
William Griggs Memorial Scholarship for Science and Math,William Griggs,2500,Senior High School-Undergraduate,All USA States,,Public,Science/Math,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/20/2023,TRUE,Donor,Open
Brandon Tyler Castinado Memorial Scholarship,Timothy Hunter,3500,Undergraduate-Graduate,All USA States,,Public,Nursing,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/25/2023,TRUE,Donor,Open
Mark A. Jefferson Teaching Scholarship,Mark Jefferson,2000,High School-Undergraduate,All USA States,Black,Public,Any,2.8,TRUE,Male,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,01/14/2024,TRUE,Donor,Open
Pool Family LGBT+ Scholarship,Pool Family,2500,Undergraduate,All USA States,,Public,Any,0,FALSE,LGBTQ+,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/15/2023,TRUE,Donor,Open
Reach For Your Future Scholarship,Dawn Sabados,1500,High School,All USA States,,Public,Any,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,3,05/24/2023,TRUE,Donor,Open
STAR Scholarship - Students Taking Alternative Routes,Marie Duran,500,Any,All USA States,BIPOC,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Nontraditional student,FALSE,Non-traditional student,1,07/15/2023,TRUE,Donor,Open
Joieful Connections Scholarship,Joieful Connections,5000,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Development or intellectual disability,1,05/30/2023,TRUE,Donor,Open
Jean Antoine Joas Scholarship,Jessica Joas,1150,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Lost a loved one,1,06/24/2023,TRUE,Donor,Open
Koehler Family Trades and Engineering Scholarship,Koehler Family,500,Senior High School-Undergraduate,All USA States,,Public,Engineering/Trades,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/15/2023,TRUE,Donor,Open
Megan Springsteel Memorial Cosmetology Scholarship,Springsteel,1000,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Interested in cosmetology,2,07/18/2023,TRUE,Donor,Open
LGBTQIA+ in Advancing Tech & Data Science Scholarship,Amanda Blake,5020,High School,All USA States,,Public,Data Science/Technology/STEM/Coding,0,FALSE,LGBTQIA+,FALSE,FALSE,TRUE,Together,Traditional Student,TRUE,First-generation/Low-income,1,06/15/2023,TRUE,Donor,Open
Dona Lupita Immigrant Scholarship,Masten-Villanueva,2000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Single mother family,Traditional Student,FALSE,Immigrant single mother related,1,11/12/2023,TRUE,Donor,Open
Graffiti Arts Scholarship,Mural Art & Consulting,5000,Any,All USA States,,Public,Fine Arts/Business,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/15/2023,TRUE,Donor,Open
Frederick J. Salone Memorial Scholarship,Salone,500,Senior High School,All USA States,,Public,Wrestling,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/15/2023,TRUE,Donor,Open
Novitas Diverse Voices Scholarship,Novitas Communication Inc,1000,Senior High School-Undergraduate,All USA States,BIPOC,Public,Public Relations.Communications,0,FALSE,LGBTQIA+,FALSE,FALSE,TRUE,Together,Traditional Student,TRUE,First-generation/Low-income,1,05/25/2023,TRUE,Donor,Open
Noble E. Gagucas Nursing Scholarship,Gagucas,1000,Undergraduate,All USA States,,Public,Nursing,0,FALSE,All gender,TRUE,TRUE,TRUE,Together,Traditional Student,FALSE,First-generation/Volunteering,1,05/17/2023,TRUE,Donor,Reviewing
Tam and Betsy Vannoy Memorial Scholarship,Nancy Totten,3500,Senior High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/15/2023,TRUE,Donor,Reviewing
Female Startup Club Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Reviewing
SSG Adrian Valdez Jr. Memorial Scholarship,Valdez Family,1000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,JROTC/ROTC/Military Service,1,08/15/2023,TRUE,Donor,Open
Matthew J. Kauffman Memorial Scholarship,Kauffman Family,1000,Undergraduate-Graduate,All USA States,,Public,Healthcare,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/30/2023,TRUE,Donor,Open
Szilak Family Honorary Scholarship,Szilak Family,500,Any,All USA States,,Public,Affected by cancer,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/15/2023,TRUE,Donor,Open
Anderson Women's Rugby Scholarship,Heather Anderson,1000,Any,All USA States,,Public,Rugby,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/22/2023,TRUE,Donor,Open
Deborah Thomas Scholarship Award,27Strong,500,High School,All USA States,,Public,Business/Medicine/Computer Science/Art,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/14/2023,TRUE,Donor,Open
Eunice Richardson Scholarship for Girls,Richardson Family,500,Senior High School,All USA States,African American,Public,Any,2.5,TRUE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/17/2023,TRUE,Donor,Reviewing
Kenyada Me'Chon Thomas Legacy Scholarship,Cermonia Thomas,2000,Senior High School,All USA States,BIPOC,Public,Any,2.5,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,05/15/2023,TRUE,Donor,Reviewing
Ranger Rise Scholarship,Ranger Liquor Mart & Bar,500,Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,University of Wyoming student,1,07/01/2023,TRUE,Donor,Open
Sean Allen Memorial Scholarship,Peter Chang,2000,Undergraduate-Graduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Interested in climbing,1,06/17/2023,TRUE,Donor,Open
Summer Chester Memorial Scholarship,Keishanae Williams,900,Senior High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Klein Forest High School student,1,01/02/2024,TRUE,Donor,Open
Emma Jean Ridley Memorial Scholarship,Beacons of Promise LLC,1000,Undergraduate,All USA States,African American,Public,Medicine/Medical,3.0,TRUE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,TRUE,First-generation/Low-income,2,06/16/2023,TRUE,Donor,Open
Terry Masters Memorial Scholarship,Masters Family,1500,Any,All USA States,,Public,Fine Arts,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,12/05/2023,TRUE,Donor,Open
Dr. Jade Education Scholarship,The Dr Jade Brand LLC,500,Graduate,All USA States,African American/Black,Public,Any,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Currently working full-time,2,01/01/2024,TRUE,Donor,Open
Cariloop's Caregiver Scholarship,Cariloop,5000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income/Caregiver,3,05/30/2023,TRUE,Donor,Open
Youth Equine Service Scholarship,Cathy Thacker,1150,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering/Loves working with horses,1,07/01/2023,TRUE,Donor,Open
Lidia M. Wallace Memorial Scholarship,Wallace Family,500,Senior High School,All USA States,,Public,Education,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/15/2023,TRUE,Donor,Open
Kevin R. Mabee Memorial Scholarship,Laurie Conrad,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Interested in dietician/Studying nutrition or health science,1,06/27/2023,TRUE,Donor,Open
Wild Scholarship,Wildxyz Inc,1000,Any,All USA States,,Public,Arts,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,12/31/2023,TRUE,Donor,Open
Ron Johnston Student Athlete Scholarship,Johnston Family,2100,Senior High School-Undergraduate,All USA States,,Public,Athletics,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,06/04/2023,TRUE,Donor,Open
Dan Leahy Scholarship Fund,Dan Leahy Scholarship Fund,3000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Extracurricular speech and debate/Mock Trial,3,05/18/2023,TRUE,Donor,Reviewing
Reviewing,The Donald A. Baker Foundation,500,Senior High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/15/2023,TRUE,Donor,Reviewing
Laura Thorne Memorial Scholarship,Shelley Roderick,2000,Senior High School-Undergraduate,All USA States,,Public,Special Education,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering/Affected by cancer,1,08/01/2023,TRUE,Donor,Open
Rebecca Hunter Memorial Scholarship,Ryan Lester,1150,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Single parent child,Traditional Student,FALSE,Single parent child,1,06/15/2023,TRUE,Donor,Open
Eitel Scholarship,Danielle Eitel,500,Undergraduate-Graduate,All USA States,,Public,Any,3.0,TRUE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Attending baptist college,1,07/05/2023,TRUE,Donor,Open
Charity's Alumnus Erudition Award,Charity's Haven LLC,500,Senior High School,All USA States,BIPOC,Public,Healthcare,2.5,TRUE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,06/01/2023,TRUE,Donor,Open
Big Heart Scholarship,Gentile Family,9170,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Bethel Park High School student,1,06/15/2023,TRUE,Donor,Open
Trudgers Fund,C.Louis Gable,1000,Senior High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Addiction struggles/Currently sober,1,06/04/2023,TRUE,Donor,Open
Kristie's Kids - Loving Arms Around Those Impacted by Cancer Scholarship,McFarling,5000,Senior High School,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Affected by cancer,2,05/15/2023,TRUE,Donor,Reviewing
Audrey Sherrill & Michael D'Ambrisi Music Scholarship,The Sherrill Family and Friends,10000,High School-Undergraduate,All USA States,,Public,Music performance/Jazz studies/Music education/Music therapy,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,05/15/2023,TRUE,Donor,Reviewing
Your Health Journey Scholarship,Thrive,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/31/2023,TRUE,Donor,Open
Sports Lover Scholarship,Thrive,500,Any,All USA States,,Public,Athletics/Sports related,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/31/2023,TRUE,Donor,Open
Mind Body & Soul Scholarship,Thrive,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/31/2023,TRUE,Donor,Open
Healthy Eating Scholarship,Thrive,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/31/2023,TRUE,Donor,Open
Learner Math Lover Scholarship,Learner,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Interested in math,1,07/30/2023,TRUE,Donor,Open
Learner Geometry Scholarship,Learner,500,Any,All USA States,,Public,Mathematics,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/31/2023,TRUE,Donor,Open
Learner No-Essay SAT Tutoring Scholarship,Learner,500,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/30/2023,FALSE,Independent,Open
Learner.com Algebra Scholarship,Learner,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/31/2023,TRUE,Donor,Open
Learner Calculus Scholarship,Learner,500,Any,All USA States,,Public,STEM,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/31/2023,TRUE,Donor,Open
Informed Consumer Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Overcoming Adversity - Jack Terry Memorial Scholarship,Strans and Terry Family,6000,Senior High School,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,2,07/15/2023,TRUE,Donor,Open
Tony Alviani Memorial Scholarship,Alviani Family,500,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,10/01/2023,TRUE,Donor,Open
Grace Lynn Ross Memorial Scholarship,Michelle Ross,500,Senior High School-Undergraduate,All USA States,,Public,Criminal Justice/Child Psychology/Grief Counseling,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,TRUE,Donor,Open
Walters Foster Care Scholarship,Walters Family,500,Senior High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,In foster care,1,05/15/2023,TRUE,Donor,Reviewing
Richard Neumann Scholarship,Neumann,1000,Senior High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/10/2023,TRUE,Donor,Open
Maggie's Way-International Woman's Scholarship,David Gaskill,5000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,International student,1,11/01/2023,TRUE,Donor,Open
Vincent U. Cornwall Legacy Scholarship,Jason Prime,500,Any,All USA States,African American/Black/Caribbean American,Public,Economics/Finance/Accounting,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,1,08/29/2023,TRUE,Donor,Open
LoCasale Family and Friends,Perla Acevedo,500,High School,All USA States,Hispanic/Latino,Public,Any,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,05/15/2023,TRUE,Donor,Reviewing
David G. Sutton Memorial Scholarship,Stacy Mensch,500,High School,All USA States,,Public,Athlete,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,12/01/2023,TRUE,Donor,Open
Mendez-Olvera Medicine and Public Health Scholarship,Mendez-Olvera,2000,Senior High School,All USA States,BIPOC,Public,Medicine/Public Health ,3.6,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,05/30/2023,TRUE,Donor,Open
Scorenavigator Financial Literacy Scholarship,ScoreNavigator Inc,5000,High School,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,5,06/27/2023,TRUE,Donor,Open
Kozakov Foundation Fellowship for Creatives,Kozakov Foundation,5135,Undergraduate,All USA States,,Public,Acting in Theater or Film,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/01/2023,TRUE,Donor,Open
Goodnewsletter Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,01/31/2024,FALSE,Donor,Open
Carla M. Champagne Memorial Scholarship,Champagne,2000,Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,1,07/01/2023,TRUE,Donor,Open
"Brent Haines ""Make it Happen"" Scholarship",Haines Family,4000,Undergraduate,All USA States,,Public,Any,2.5,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,San Diego State University student,2,06/23/2023,TRUE,Donor,Open
